"Year","Exports to the rest of the UK (£bn)","Exports to the rest of the World (£bn)","Total Exports (£bn)"
"2018","16.0256566130645","8.448","24.4736566130645"
"2017","10.7525468461218","6.8225","17.5750468461218"
"2016","8.86981009266004","4.65","13.51981009266"
"2015","9.16976668352957","5.5655","14.7352666835296"
"2014","10.6003615116968","9.5685","20.1688615116968"
"2013","14.5691669385184","8.5895","23.1586669385184"
"2012","15.6907985406035","9.00662274044363","24.6974212810471"
"2011","16.5334721412527","8.55686626581106","25.0903384070638"
"2010","16.2907687200279","7.96491563223521","24.2556843522631"
"2009","12.007845811683","6.3033598087638","18.3112056204468"
"2008","20.920458545832","8.38387355751263","29.3043321033446"
"2007","13.0217324791651","6.36715545119836","19.3888879303635"
"2006","15.3350503069878","6.5010119059621","21.8360622129499"
"2005","13.9141665979652","5.52051454962602","19.4346811475912"
"2004","10.4057520784695","4.71290599051168","15.1186580689812"
"2003","10.2143116417932","4.6533931545597","14.8677047963529"
"2002","10.3792661399744","4.94495089376432","15.3242170337387"
"2001","10.3932470356916","5.2783398112419","15.6715868469335"
"2000","11.1952161094303","5.29758803969818","16.4928041491284"
"1999","7.60244320440837","3.1141131512288","10.7165563556372"
"1998","5.46858249919709","2.25377350180688","7.72235600100397"
