"Year","Renewable Electricity (GWh)","% Progress"
"2020","32063.23","0.959431161913881"
"2019","30174.84","0.884481423666503"
"2018","26596.98","0.754455038082464"
"2017","25301.4","0.703342630192984"
"2016","19475.59","0.536637051077096"
"2015","21742.82","0.594951541407347"
"2014","19045.04","0.498193871168827"
"2013","16989.65","0.444651987876114"
"2012","14667.18","0.391606005459509"
"2011","13868.8","0.369792954021453"
"2010","9420","0.240079945092544"
"2009","10582","0.272369034044842"
"2008","9058","0.220662787406094"
"2007","8003","0.196546885138325"
"2006","6956","0.168389455082428"
"2005","6486","0.15471221048112"
"2004","5832.236211","0.140998572568345"
"2003","3724.436211","0.0903156363305689"
"2002","5098.7","0.122508950239074"
"2001","4202.4","0.103901498294022"
"2000","4971.6","0.121849954657974"
